	sentence	context	pred_type	params	values
0	You can also set values like 0,1 and 2 for setting up the connection status	mysql> SET SESSION query_cache_type = OFF;mysql> SET SESSION query_cache_type = OFF;mysql> SET SESSION query_cache_type = OFF;	4	{'query_cache_type'}	['0', '1', '2']
1	The recommendation is to start with small values around 10MB and then increase to no more than 100-200MB	query_cache_size – Specifies the size of the cache of My SQL queries waiting to run	1	{'query_cache_size'}	['10MB', '100-200MB']
2	The following variables are largely dependent on your hardware:innodb_buffer_pool_size Generally, set to 50% – 70% of your total RAM as a starting point	The following variables are largely dependent on your hardware:innodb_buffer_pool_size Generally, set to 50% – 70% of your total RAM as a starting point	4	{'innodb_buffer_pool_size'}	['on', '50%', '70%']
3	It does not need to be set any larger than the total database size	The following variables are largely dependent on your hardware:innodb_buffer_pool_size Generally, set to 50% – 70% of your total RAM as a starting point	2	{'innodb_buffer_pool_size'}	[]
4	Setting to “0” or “2” will give more performance, but less durability	innodb_flush_log_at_trx_commit Setting to “1” (default in 5.7) gives the most durability	4	{'innodb_flush_log_at_trx_commit'}	['0', '2']
5	innodb_flush_method Setting this to O_DIRECT will avoid a performance penalty from double buffering	innodb_flush_method Setting this to O_DIRECT will avoid a performance penalty from double buffering	4	{'O_DIRECT', 'innodb_flush_method'}	[]
6	innodb_stats_on_metadata Setting this to “OFF” avoids unnecessary updating of Inno DB statistics and can greatly improve read speeds	innodb_stats_on_metadata Setting this to “OFF” avoids unnecessary updating of Inno DB statistics and can greatly improve read speeds	4	{'innodb_stats_on_metadata'}	[]
7	innodb_buffer_pool_instances A best practice is to set this to “8” unless the buffer pool size is < 1G, in which case set to “1”	innodb_buffer_pool_instances A best practice is to set this to “8” unless the buffer pool size is < 1G, in which case set to “1”	4	{'innodb_buffer_pool_instances'}	['8', '1G', '1']
8	uery_cache_type & query_cache_size Setting both of these to “0” will entirely disable the query cache	uery_cache_type & query_cache_size Setting both of these to “0” will entirely disable the query cache	4	{'query_cache_size', 'uery_cache_type'}	['0']
9	Why innodb_buffer_pool_instances has a best practice to set it to “8” July 1, 2020 at 12:04 pm	Why innodb_buffer_pool_instances has a best practice to set it to “8” July 1, 2020 at 12:04 pm	4	{'innodb_buffer_pool_instances'}	['8', '1', '2020', '12', '04']
